Номенклатура;КодНоменклатуры;Склад;Количество;Сумма
Рукав соединит. сапуна ЯМЗ-238/240 (рез.) (ОАО Автодизель-ЯМЗ);011264     ;Склад магазин Мергунов;1;278.03
Кляммер трубки отвода газов от сапуна ЯМЗ-236/238 (ОАО Автодизель-ЯМЗ);011266     ;Склад магазин Мергунов;1;51.84
Кронштейн крепления генератора ЯМЗ-658Евро3 МАЗ (ОАО Автодизель-ЯМЗ) ;011277     ;Склад магазин Мергунов;1;4862.42
Палец крепления генератора ЯМЗ-238НД5/7511 (ОАО Автодизель-ЯМЗ) ;011279     ;Склад магазин Мергунов;1;557.78
Болт натяжителя генератора ЯМЗ-238НД5/7511 (ОАО Автодизель-ЯМЗ) ;011280     ;Склад магазин Мергунов;1;401.27
Болт натяжной генератора ЯМЗ-238НД5/7511 (ОАО Автодизель-ЯМЗ) ;011281     ;Склад магазин Мергунов;1;226.46
Шпилька М8СП М8х1х18мм крепления планки генератора ЯМЗ-238НД5/7511 (ОАО Автодизель-ЯМЗ) ;011282     ;Склад магазин Мергунов;1;52.38
Втулка с резьбой натяжника генератора ЯМЗ-238НБ/НД3 (ОАО Автодизель-ЯМЗ) ;011283     ;Склад магазин Мергунов;1;131.95
Кронштейн крепления генератора ЯМЗ-658Евро3 МАЗ (ОАО Автодизель-ЯМЗ) ;011510     ;Склад магазин Мергунов;1;4389.04
Распылитель КАМАЗ-ЕВРО-2 (ЯЗДА)  ;006659     ;Склад магазин Мергунов;1;894.64
Каталог Нива-Эффект 4том (Ростсельмаш);014045     ;Склад магазин Мергунов;2;4547.39
Кольцо резин. переднего моста МТЗ-82 (ОАО МТЗ);009414     ;Склад магазин Мергунов;1;127.27
Трубка отвода масла от ТНВД ЯМЗ-7511 (ОАО Автодизель-ЯМЗ)   ;009075     ;Склад магазин Мергунов;1;2888.73
Катушка высевающего аппарата СКП/СЗС (полиамид) Россия;007450     ;Склад магазин Мергунов;1;108.84
Патрубок отводящий ЖМТ ЯМЗ-236НЕ/БЕ (ОАО Автодизель-ЯМЗ);013766     ;Склад магазин Мергунов;1;4116.35
Хомут 160*180/9 Torro Norma;012447     ;Склад магазин Мергунов;1;220.54
Насос-дозатор рулевой Енисей (4 выхода) Республика Беларусь (продавать с приставкой);007995     ;Склад магазин Мергунов;1;26138.14
Домкрат гидравлический бутылочный 5т, 216-413 мм (ООО ПРАМО);013319     ;Склад магазин Мергунов;1;3921.58
Ящик полимерный 350х225х150 (красн.);011687     ;Склад магазин Мергунов;2;1064.88
Хомут 130*150/9 Torro Norma;012445     ;Склад магазин Мергунов;1;199.11
Каток прикатывающий СТС/СЗС /3мм/ (АСМ Рубцовск);009604     ;Склад магазин Мергунов;1;4837.08
Уплотнение торцевое вод. насоса UMBRA U 19/40/11.5 ЯМЗ/МТЗ (8.9739) (ОАО Автодизель-ЯМЗ)  ;009760     ;Склад магазин Мергунов;1;3202.16
Сегмент ножа сенокосилки (гладкий) (Россия);003915     ;Склад магазин Мергунов;1;38.13
"Цилиндра сцепления МАЗ ""Балаково"" (РЕМ. К-Т.)";003963     ;Склад магазин Мергунов;1;402.68
Указатель давления масла МТЗ н/о;003972     ;Склад магазин Мергунов;1;5819.27
Указатель уровня топлива МТЗ н/о;003973     ;Склад магазин Мергунов;1;2329.47
Вод. насоса СМД-31 (вал, подш.) нов/о. (РЕМ. К-Т.);004010     ;Склад магазин Мергунов;2;3326.78
Граблина мотовила одинарная Енисей-1200М;004026     ;Склад магазин Мергунов;1;173.9
Прокладка регулировочная масл.насоса ЯМЗ-236/238 (ОАО Автодизель-ЯМЗ) ;004040     ;Склад магазин Мергунов;1;48.21
Корректор по наддуву ТНВД ЯМЗ-238Б,Д,236НЕ,Тутаевец (ОАО ЯЗДА);013406     ;Склад магазин Мергунов;1;22715.03
Провод магнето (К);009278     ;Склад магазин Мергунов;1;160.71
Домкрат гидравлический бутылочный 6т, в кейсе, 216-413 мм (ООО ПРАМО);013314     ;Склад магазин Мергунов;1;4526.8
Хомут 170*190/9 Torro Norma;012448     ;Склад магазин Мергунов;1;224.11
Труба интеркулера отводящая металл. зигзаг L=450*90мм) МАЗ  ;012927     ;Склад магазин Мергунов;1;13141.41
Корректор по наддуву ТНВД ЯМЗ-236НЕ,БЕ,7601 (ОАО ЯЗДА);013408     ;Склад магазин Мергунов;1;23155.91
Сапун в сборе ЯМЗ-236/238/7511 (ОАО Автодизель-ЯМЗ);011406     ;Склад магазин Мергунов;1;1399.58
Фильтр топливный СМД/Т-4/ДТ-75,Т-150, (Кострома)(Стандарт) сетка картон,42шт. в упк. ;008637     ;Склад магазин Мергунов;1;164.34
Воздухоочиститель Д-245 в сборе (ОАО ММЗ) г.Минск   ;007591     ;Склад магазин Мергунов;1;9107.15
Кольцо стопорное К-700/701 В60 наружн. вала РПН  ;00000007374;Склад магазин Мергунов;1;27.12
Кольцо стопорное К-700/701 В34 наружн. муфты РПН;00000007379;Склад магазин Мергунов;1;18.35
Провод магнето (16 жильный);011676     ;Склад магазин Мергунов;1;241.07
Патрубок соедин-й водяных труб ЯМЗ-240 (ОАО Автодизель-ЯМЗ);00000007388;Склад магазин Мергунов;1;446.43
Кронштейн крепления генератора ЯМЗ-236М2/НД/НЕ/238Д,Б (ОАО Автодизель-ЯМЗ) ;00000007405;Склад магазин Мергунов;1;2964.29
Заглушка шатунной шейки ЯМЗ-236/238 (ОАО Автодизель-ЯМЗ) ;00000007406;Склад магазин Мергунов;1;42.41
Клапан нагнетательный в сборе ЯМЗ без пруж. (ОАО ЯЗДА);00000007409;Склад магазин Мергунов;1;1148.01
Ось толкателя средняя ЯМЗ-236 (ОАО Автодизель-ЯМЗ) ;00000007411;Склад магазин Мергунов;1;607.46
Валик водяного насоса Т-4/ДТ;00000007420;Склад магазин Мергунов;1;705.19
Вилка перекл-я редуктора Т-4.02;00000007429;Склад магазин Мергунов;1;2766
Вилка заднего хода ДТ-75;00000007440;Склад магазин Мергунов;1;609.92
Вилка V и Vl передач ДТ-75;00000007441;Склад магазин Мергунов;1;691.5
"Реле поворотов МАЗ РС-401 24v ""АП""";00000007452;Склад магазин Мергунов;1;846.43
Крышка картера конечной передачи Т-4А;00000007456;Склад магазин Мергунов;1;1287
Фильтр масляный ЯМЗ нов./обр.15 шт в упак. (Кострома) (Стандарт);00000007473;Склад магазин Мергунов;1;400
Вал раздаточной коробки МТЗ-82 (Бобруйск);00000007506;Склад магазин Мергунов;1;3084.72
Маслоотражатель к/вала передний Д-240 (ОАО ММЗ) г.Минск;00000007522;Склад магазин Мергунов;1;84.45
Подшипник игольчатый МТЗ ЗКК 72х82х45Е 056 шестерни (ОАО МТЗ);00000007530;Склад магазин Мергунов;1;526.92
ПД-10 МТЗ (РЕМ. К-Т.)(РУСЬ);00000007537;Склад магазин Мергунов;5;807.25
Заднего моста МТЗ с манжетами (РЕМ. К-Т.)(РУСЬ);00000007538;Склад магазин Мергунов;1;367.57
Рычаг отжимной корзины сцепления МТЗ нов/обр. (Бобруйск);00000007543;Склад магазин Мергунов;1;426.88
Втулка оси толкателя ЯМЗ-236 (ОАО Автодизель-ЯМЗ);00000007576;Склад магазин Мергунов;1;286.25
Гайка М14 (специальная);00000007578;Склад магазин Мергунов;5;223.22
Вод. насоса МТЗ Д-240 (полный)(подш. 160703А)+ крыльч. с. о. (РЕМ. К-Т)(РУСЬ);00000007612;Склад магазин Мергунов;1;1350.91
Датчик температуры двигателя МТЗ нов. обр. (тонкий штырь) Калуга;00000007615;Склад магазин Мергунов;1;587.5
"Распылитель Д-243,245,260 МТЗ-Евро (АЗПИ) ""171""";00000007621;Склад магазин Мергунов;1;714.29
Переключатель подрулевой нов. обр. МТЗ;00000007800;Склад магазин Мергунов;1;4564.33
Диск промежуточной опоры МТЗ-82  72-2209026 (в место 72-2209025) ;00000070001;Склад магазин Мергунов;1;54.73
Диск промежуточной опоры МТЗ-82  72-2209027;00000070002;Склад магазин Мергунов;1;46.93
Болт шкива коленвала ЯМЗ-236/238 М24х2х50 (ОАО Автодизель-ЯМЗ);002807     ;Склад магазин Мергунов;1;798.76
Кольцо уплотнительное катка Т-4А;000710     ;Склад магазин Мергунов;1;312.5
Крышка реле стартера СТ-212 МТЗ ;000716     ;Склад магазин Мергунов;2;696.43
Привод стартера МТЗ /бендикс/ (БАТЭ);000718     ;Склад магазин Мергунов;1;2849.11
Реле втягив-е стартера МТЗ (БАТЭ);000719     ;Склад магазин Мергунов;1;5939.28
Датчик давления масла МТЗ нов. обр.;000727     ;Склад магазин Мергунов;1;5546.16
Датчик уровня топлива МТЗ нов. обр.;000729     ;Склад магазин Мергунов;1;1966.77
Фланцевых уплотнений Р-80 (РЕМ. К-Т.)(РУСЬ);000751     ;Склад магазин Мергунов;7;191.07
Фланцевых уплотнений Р-160 (РЕМ. К-Т.)(РУСЬ);000752     ;Склад магазин Мергунов;9;409.85
Рулевой колонки МТЗ  (РЕМ. К-Т.);000755     ;Склад магазин Мергунов;1;95.49
Вод. насоса МТЗ стар. обр. (РЕМ. К-Т.);000758     ;Склад магазин Мергунов;2;137.25
Серьга навески МТЗ А61.09.002 (Руслан);000766     ;Склад магазин Мергунов;1;123.4
Шестерня редуктора ведомая Z=37 ДТ-75 (МЗШ);000770     ;Склад магазин Мергунов;1;7263.75
Автолампа приборная 12В 2Вт. ВА7S (Маяк);000795     ;Склад магазин Мергунов;2;19.84
Катушка высевающего аппарата СТС/СЗС (металл. литая);000826     ;Склад магазин Мергунов;1;246.82
Болт контактный реле стартера ЯМЗ СТ-25 (ООО ПРАМО);000831     ;Склад магазин Мергунов;3;979.58
Лапа СЗС-2,1 (стрелка) 290мм. стар. обр. 65Г (Магнитогорск);000839     ;Склад магазин Мергунов;1;517.86
Поршнекомплект Т-40,Т-25 (1-но масл.) (Украина) (Г+П);000847     ;Склад магазин Мергунов;1;4384.91
Фильтр масляный КамАЗ-Евро,нитки (Профессионал) (Кострома);000848     ;Склад магазин Мергунов;1;653.85
Фильтр топливный КамАЗ, (мет. сетка, )(Специалист)(Кострома);000849     ;Склад магазин Мергунов;1;101.79
"Реле-регулятор напряжения мех-й 12в стар. обр. большой ""КЗА"" ";000853     ;Склад магазин Мергунов;1;1570.62
Гидронасоса НШ-32У-2 стар. обр. (РЕМ. К-Т.) (РУСЬ);000860     ;Склад магазин Мергунов;1;76.26
Гидронасоса НШ-32У нов. обр. (РЕМ. К-Т.)(РУСЬ);000861     ;Склад магазин Мергунов;6;360.02
Гидронасоса НШ-50А-3 (РЕМ. К-Т.)(РУСЬ);000862     ;Склад магазин Мергунов;3;412.5
Втулка фильтра резиновая;000866     ;Склад магазин Мергунов;1;11.61
"Лапа СКП ""Омичка"" 270мм. (Рубцовск)";000869     ;Склад магазин Мергунов;1;579.92
Наральник (долото) анкерного сошника Castolin (Омск);009844     ;Склад магазин Мергунов;1;3983
"Лапа разбросного высева ""Стелс"" (Рубцовск)";000876     ;Склад магазин Мергунов;1;955.49
Лист задний (под пускач) МТЗ (ОАО ММЗ) г.Минск;000882     ;Склад магазин Мергунов;1;10741.42
Гидроцил-ра подъема рамы КУН-10 новый (РЕМ. К-Т.)(РУСЬ);000914     ;Склад магазин Мергунов;1;93.74
Крыльчатка вентилятора ЯМЗ-238М2,Д1 d=600мм (ОАО Автодизель-ЯМЗ) ;000918     ;Склад магазин Мергунов;1;3491.9
Головка кардана (мягкое соединение) ДТ-75 (К) ;000924     ;Склад магазин Мергунов;1;3035.71
Вилка кардана (внутр.шлиц) ДТ-75 без РХ;000926     ;Склад магазин Мергунов;1;3636.84
Прижим ножа сенокосилки высокий /Россия/;000935     ;Склад магазин Мергунов;1;114.2
Прижим ножа сенокосилки низкий /Россия/;000936     ;Склад магазин Мергунов;1;120.1
Пластина трения ножа сенокосилки (трапеция) /Россия/;000937     ;Склад магазин Мергунов;1;151.06
Вкладыш противореж-й внутр. башмака сенокосилки /Россия/;000940     ;Склад магазин Мергунов;1;76.37
Подошва наружного башмака сенокосилки /Россия/;000941     ;Склад магазин Мергунов;1;545.95
Подошва внутреннего башмака сенокосилки /Россия/;000942     ;Склад магазин Мергунов;1;501.18
Ось (штырь) шарнира сенокосилки /Россия/ ;000943     ;Склад магазин Мергунов;1;241.01
Эксцентрик (маховичек) сенокосилки с пальцем  /Россия/;000946     ;Склад магазин Мергунов;1;2025.3
Головка эксцентрика сенокосилки под 2 подш. /Россия/;000949     ;Склад магазин Мергунов;1;932.87
Палец головки эксцентрика сенокосилки с гайкой  /Россия/;000950     ;Склад магазин Мергунов;1;337.96
Вал приема мощности сенокосилки /Россия/;000951     ;Склад магазин Мергунов;1;1535.83
Вал сенокосилки /Россия/;000952     ;Склад магазин Мергунов;1;1834.54
Корпус коробки сенокосилки /Россия/;000954     ;Склад магазин Мергунов;1;4258.8
Шкив ведущий сенокосилки (большой) 2-х руч. левая резьба /Россия/;000955     ;Склад магазин Мергунов;1;1680.17
Шкив ведущий сенокосилки (большой) 3-х руч. левая резьба /Россия/;000956     ;Склад магазин Мергунов;1;3204.97
Рычаг упорный сенокосилки (литой) /Россия/;000960     ;Склад магазин Мергунов;2;1331.52
Кольцо стопорное сенокосилки /Россия/;000962     ;Склад магазин Мергунов;1;34.59
Кольцо стопорное сенокосилки /Россия/;000963     ;Склад магазин Мергунов;1;53.23
Шкив роторной сенокосилки (большой) /Россия/;000965     ;Склад магазин Мергунов;1;12466.37
Болт с гайкой роторной сенокосилки /Россия/;000966     ;Склад магазин Мергунов;1;220.63
Нож короткий роторной сенокосилки (5х55х125) /Россия/;000967     ;Склад магазин Мергунов;1;143.83
Нож длинный роторной сенокосилки (5х55х150) /Россия/;000968     ;Склад магазин Мергунов;1;115.44
Вал роторной сенокосилки /Россия/;000970     ;Склад магазин Мергунов;1;2461.51
Ось роторной сенокосилки /Россия/;000972     ;Склад магазин Мергунов;1;491.56
Гайка круглая роторной сенокосилки /Россия/;000974     ;Склад магазин Мергунов;1;299.07
Втулка граблей ГВК-6 /Россия/;000977     ;Склад магазин Мергунов;1;19.33
Зубодержатель граблей /Россия/;000978     ;Склад магазин Мергунов;2;329.61
Шайба зуба прессподборщика/Россия/;000979     ;Склад магазин Мергунов;1;60.69
Зуб пружинный подборщика-полуприцепа /Россия/;000980     ;Склад магазин Мергунов;2;221.84
Пластина противорежущая пальца жатки Енисей/Нива без выемки /Симф/ 450шт/кор.;000985     ;Склад магазин Мергунов;1;37.75
Эксцентрик регулировки сенокосилки /Россия/;000991     ;Склад магазин Мергунов;1;350.14
Крышка головки эксцентрика сенокосилки /Россия/;000992     ;Склад магазин Мергунов;3;981.79
Рычаг подъемный сенокосилки (литой) /Россия/;000993     ;Склад магазин Мергунов;2;4663.47
Рычаг передний сенокосилки (сварной) /Россия/;000994     ;Склад магазин Мергунов;2;4250.42
Зуб грабельный /Россия/;000998     ;Склад магазин Мергунов;1;489.06
Башмак косилки наружний (малый) /Россия/;001005     ;Склад магазин Мергунов;1;1221.09
Пружина рабочего колеса граблей ГВК-6 /Россия/;001012     ;Склад магазин Мергунов;1;308
Палец жатки двойной (стальной) Вектор/Акрос ;001023     ;Склад магазин Мергунов;1;415.73
Звёздочка шнека жатки Енисей;001035     ;Склад магазин Мергунов;1;2567.2
Планка (бич домолотки нов. обр.) Енисей;001052     ;Склад магазин Мергунов;1;805.76
Полуось длинная моста с ГСТ Енисей-1200-1НМ;001077     ;Склад магазин Мергунов;1;3953.23
Бич барабана домолотки Енисей стар. обр. (лев.);001096     ;Склад магазин Мергунов;1;584.82
Бич барабана домолотки Енисей стар. обр. (прав.);001097     ;Склад магазин Мергунов;1;582.77
Сегмент ножа зубч. (Шумахер) /Н.066.14-04/ (Белоруссия) 750 шт./кор.;001129     ;Склад магазин Мергунов;1;96.5
Манжета (пыльник) пальца шатуна сенокосилки  /Россия/;001130     ;Склад магазин Мергунов;4;186.83
Головка шпренгеля сенокосилки /Россия/;001131     ;Склад магазин Мергунов;1;964.57
Фильтр воздушный КамАЗ-ЕВРО-1 (Кострома) ;001181     ;Склад магазин Мергунов;1;2226.25
Фильтр топливный тонкой очистки ЯМЗ нов. обр.(cетка мет.)(Специалист)(Кострома);001183     ;Склад магазин Мергунов;1;304.97
Втулка сферич-я пальца рулевого гидроцилиндра МТЗ-80/82 с ГОРу (ОАО МТЗ);001193     ;Склад магазин Мергунов;1;78.81
Палец рулевого гидроц-ра МТЗ-82 к кроншт./1221к кроншт. и к ред-ру с ГОР(L133мм М24*2) ;001195     ;Склад магазин Мергунов;1;2296.43
Вал привода насоса НШ-32А МТЗ-80/82 ст. обр. (Бобруйск);001205     ;Склад магазин Мергунов;1;1239.22
Якорь стартера СТ100 СМД-19/21 (винтовой);001216     ;Склад магазин Мергунов;1;2529.76
Болт бича специальный 38мм с гребнем (арт. Енисей 61382);001217     ;Склад магазин Мергунов;1;72.18
Фильтр воздушный Вектор с элементом безопасности (Кострома);001254     ;Склад магазин Мергунов;1;4137.44
"Конвертер 24/12В 10А ""Энергомаш""";001258     ;Склад магазин Мергунов;1;3707.14
Реле стартера металл. РС 530 (аналог 738.3747-20) 24В (КамАЗ);001260     ;Склад магазин Мергунов;1;775.89
Форсунка СМД-17/18/21/22 (Украина);001279     ;Склад магазин Мергунов;1;1683.01
Сегмент ножа зубч. (Шумахер) /Симферополь/ 270 шт./кор.;001280     ;Склад магазин Мергунов;1;65.18
Гидроцил-ра управления колес ГА-25000 Енисей/Нива (РЕМ. К-Т.);001290     ;Склад магазин Мергунов;2;238.5
Гидроцил-ра подъема мотовила  34-9-5 Енисей/Нива (РЕМ. К-Т.);001315     ;Склад магазин Мергунов;2;138.01
Корпус подшипника вала соломотряса Енисей;001323     ;Склад магазин Мергунов;1;1291.63
Пластина трения головки ножа сенокосилки /Россия/;001341     ;Склад магазин Мергунов;1;150.67
Шатун сенокосилки нов. обр. /Россия/;001347     ;Склад магазин Мергунов;1;4305.81
Палец головки шатуна сенокосилки /Россия/;001348     ;Склад магазин Мергунов;1;422.69
Сегмент ножа зубч. ДОН, ВЕКТОР /Россия/(ящик 700 шт.);001354     ;Склад магазин Мергунов;1;47.21
"Головка ножа комбайна ""Дон-1500Б"", Вектор (РСМ-10.27.01.470) ";001356     ;Склад магазин Мергунов;1;2327.14
Пластина трения режущего аппарата /Россия/;001358     ;Склад магазин Мергунов;1;147.82
Палец жатки двойной (стальн., штампов.) Енисей /Россия/;001359     ;Склад магазин Мергунов;1;708.64
Сегмент ножа сенокосилки (гладкий) /Симферополь/405шт/кор.;001379     ;Склад магазин Мергунов;2;72.99
Пара плунжерная Д-243, Д-260, Д-448 (ОАО ЯЗДА);001381     ;Склад магазин Мергунов;1;1592.74
Пружина клапана большая МТЗ (ОАО ММЗ) г.Минск;001396     ;Склад магазин Мергунов;1;73.74
Пружина клапана малая МТЗ;001397     ;Склад магазин Мергунов;1;33.72
Шестерня компрессора МТЗ с втулкой (набор) (Борисов);001406     ;Склад магазин Мергунов;1;2789.15
Шестерня редуктора ПД-10 ДТ-75 (бендикс);001408     ;Склад магазин Мергунов;1;1655.41
"Каток прикатывающий кольчатый СКП ""Омичка"" (Рубцовск)";009291     ;Склад магазин Мергунов;1;7266.6
Гайка регулировочная конечной передачи Т-4А;001422     ;Склад магазин Мергунов;1;520.45
Гидронасоса ГСТ-90 (НП-90) полный (РЕМ. К-Т.)(РУСЬ);001456     ;Склад магазин Мергунов;2;3119.64
Гидроцил-ра управления вилами КУН-0,8 (РЕМ. К-Т.) Руслан-Комплект;001478     ;Склад магазин Мергунов;2;310.86
Фара квадратная МТЗ нов.обр.;001492     ;Склад магазин Мергунов;1;5465.99
Скоба крепления стартера ЯМЗ (ОАО Автодизель-ЯМЗ)  ;001493     ;Склад магазин Мергунов;1;3208.12
Привод стартера СТ-362 (ПД-10) ;001494     ;Склад магазин Мергунов;1;1931.49
Втулка распредвала передняя широкая (ОАО Автодизель-ЯМЗ) ;007573     ;Склад магазин Мергунов;1;2894.23
Палец жатки двойной нов. обр. Енисей ЖКН-7 /Россия/;001534     ;Склад магазин Мергунов;1;540.3
"Преобразователь напряжения 12-24В ""Енисей-1200М""";001554     ;Склад магазин Мергунов;1;8706.12
Щетка зерноочист. (круглая) БЦС;001559     ;Склад магазин Мергунов;1;267.33
Фильтр масляный КамАЗ (сетка картон, упак. 24шт)(Стандарт)(Кострома);001565     ;Склад магазин Мергунов;1;168.66
Указатель температуры воды двигателя ГАЗ, УАЗ;001566     ;Склад магазин Мергунов;1;2037.79
Сегмент ножа Джон-Дир Н066.29 /Симферополь/130шт/кор.;001576     ;Склад магазин Мергунов;1;84.88
Регулятор напряжения трактора 28в (Энергомаш) ;001594     ;Склад магазин Мергунов;1;460.51
Прокладка вып. коллектора средняя МТЗ ;001597     ;Склад магазин Мергунов;1;12.32
Прокладка вып. коллектора крайняя МТЗ ;001599     ;Склад магазин Мергунов;1;10.77
Заглушка головки  ЯМЗ (ОАО Автодизель-ЯМЗ) ;001614     ;Склад магазин Мергунов;3;338.59
Уплотнение вод. насоса  ЯМЗ-238НД3\5 нов.обр KACO 19х40 (ОАО Автодизель-ЯМЗ) ;001616     ;Склад магазин Мергунов;1;1763.73
Фонарь задний КаМАЗ, ГАЗ левый 12В, с подсвет. номера (Руслан);007532     ;Склад магазин Мергунов;1;1269.8
Реле втягив-е стартера Бычек 24В (БАТЭ);001619     ;Склад магазин Мергунов;1;5605.48
Фильтр масляный ЯМЗ-236/238/240 ст/обр (метал. сетка , упаковка 24шт.)(Агро)(Кострома);001621     ;Склад магазин Мергунов;1;283.98
Трубка отвода масла от ТНВД ЯМЗ-238 (ОАО Автодизель-ЯМЗ)   ;008032     ;Склад магазин Мергунов;1;1487.05
Пакет котла обогрева К-700/701 700.15.02.320-3;001634     ;Склад магазин Мергунов;1;3571.43
Втулка распорн. ведущего вала КПП К-700/701 700А.17.01.026-5;001635     ;Склад магазин Мергунов;3;2977.27
Секция высокого давления 3- выхода (УРТ);001638     ;Склад магазин Мергунов;0;-7.78
Прокладка фланца коллектора (окант.) ЯМЗ-240;001655     ;Склад магазин Мергунов;1;13.66
Прокладка (кольцо) фторопластовое гильзы КамАЗ;001658     ;Склад магазин Мергунов;1;69.34
Сильфон ЯМЗ-236БЕ (ОАО Автодизель-ЯМЗ) ;001666     ;Склад магазин Мергунов;1;5932.33
Фильтр системы охлаждения (металл. корпус с резьбой);007747     ;Склад магазин Мергунов;1;2098.22
Рычаг КПП К-700/701 700.17.19.012-1;001679     ;Склад магазин Мергунов;1;1150
Кронштейн 260-го валика КПП К-700А/701 700.17.01.252-1;001680     ;Склад магазин Мергунов;1;1729.25
Шток корзины сцепления ЯМЗ (ОАО Автодизель-ЯМЗ);001686     ;Склад магазин Мергунов;1;289.73
Кольцо стопорное К-700/701 В80 внутрен.;001727     ;Склад магазин Мергунов;1;44.7
Кольцо стопорное К-700/701 В110 внутрен.;001729     ;Склад магазин Мергунов;1;187.2
Кольцо стопорное К-700/701 В125 внутрен.;001730     ;Склад магазин Мергунов;7;2085.72
Кольцо стопорное К-700/701 В100 внутрен.;001732     ;Склад магазин Мергунов;3;242.59
Кольцо стопорное К-700/701 В150 внутрен.;001733     ;Склад магазин Мергунов;10;3972.8
Кольцо стопорное К-700/701 В160 внутрен.;001734     ;Склад магазин Мергунов;5;2234.7
Кольцо стопорное К-700/701 В180 внутрен.;001735     ;Склад магазин Мергунов;5;2898
Крышка муфты сцепления А-01 Т-4А;001742     ;Склад магазин Мергунов;1;15178.57
Болт крепл. маховика ЯМЗ (ОАО Автодизель-ЯМЗ);001753     ;Склад магазин Мергунов;1;129.98
Клапан предохранительный масляного насоса ЯМЗ (ОАО Автодизель-ЯМЗ);001756     ;Склад магазин Мергунов;1;1809.71
Клапан редукционный масляного насоса нов. обр. ЯМЗ (ОАО Автодизель-ЯМЗ) ;001757     ;Склад магазин Мергунов;1;4327.98
Крыльчатка вентилятора ЯМЗ-238НД5,БЕ d=660мм, ф65мм (ОАО Автодизель-ЯМЗ) ;001759     ;Склад магазин Мергунов;1;7264.92
Трубка отвода масла от ТКР9 нов. обр. ЯМЗ (ОАО Автодизель-ЯМЗ) ;001760     ;Склад магазин Мергунов;1;1296.23
Трубка подвода масла к ТКР9 ЯМЗ-238 (ОАО Автодизель-ЯМЗ);001761     ;Склад магазин Мергунов;1;1413.15
Уплотнитель трубки высок. давления ЯМЗ-240 с индив.ГБЦ (ОАО Автодизель-ЯМЗ);001762     ;Склад магазин Мергунов;1;7.14
Шпонка коленвала ЯМЗ (ОАО Автодизель-ЯМЗ);001764     ;Склад магазин Мергунов;1;322.85
Штуцер трубки подвода масла к ТКР9 (ОАО Автодизель-ЯМЗ) ;001765     ;Склад магазин Мергунов;1;262.42
Статор генератора Г-1000В (24V) Чебоксары;001798     ;Склад магазин Мергунов;1;3331.13
Блок выпрямительный генератора 4001/4005 2кВт Чебоксары;001800     ;Склад магазин Мергунов;1;2721.47
Ось рычага отжимного корзины сц. СМД/ДТ;001842     ;Склад магазин Мергунов;1;59.82
Пружина рычага отжимного корзины сц. СМД/ДТ;001844     ;Склад магазин Мергунов;1;105.92
Корпус привода тахоспидометра К-700/701;001845     ;Склад магазин Мергунов;1;1654.62
Ступица привода вспом. агр-в ЯМЗ-240 (ОАО Автодизель-ЯМЗ);001854     ;Склад магазин Мергунов;1;3963.02
Кольцо уплотнительное колпака масл. фильтра ЯМЗ нов. обр. (4,5х125мм) (ОАО Автодизель-ЯМЗ) ;001856     ;Склад магазин Мергунов;4;87.81
Диск сошника в сб. сеялки СЗ-3,6 (Рубцовск);001858     ;Склад магазин Мергунов;1;2053.01
Клапан предохранительный масляного насоса ЯМЗ-238НД3/5/Д нов. обр. (ОАО Автодизель-ЯМЗ) ;001880     ;Склад магазин Мергунов;1;4047.25
Кольца поршневые ЯМЗ 130,0 мм (ОАО Автодизель-ЯМЗ);001881     ;Склад магазин Мергунов;1;1443.91
Втулка подшипника 212 СЗР 00.811 (СТС/СЗС/СКП) (К);001888     ;Склад магазин Мергунов;1;1163.34
Гидроцил-ра подъема рамы ПКУ-0,8 (РЕМ. К-Т.);001924     ;Склад магазин Мергунов;2;283.77
Барабан ВОМ МТЗ (Бобруйск) ;001937     ;Склад магазин Мергунов;1;1778.48
Распределителя ГУР МТЗ (РЕМ. К-Т.)(РУСЬ);001938     ;Склад магазин Мергунов;1;54.09
Кольцо уплотн. гильзы (тонкое) ЯМЗ-240 с индив.ГБЦ (ОАО Автодизель-ЯМЗ);001945     ;Склад магазин Мергунов;1;294.79
Кольцо упорное отж. рычагов корзины ЯМЗ (ОАО Автодизель-ЯМЗ) ;001947     ;Склад магазин Мергунов;1;929.46
Крышка маслозаливной горл. ЯМЗ-236/238/240 (ОАО Автодизель-ЯМЗ)            ;001948     ;Склад магазин Мергунов;1;298.45
Крышка ГБЦ ЯМЗ 236 с горловиной (ОАО Автодизель-ЯМЗ);001953     ;Склад магазин Мергунов;1;3505.36
Штифт корзины ЯМЗ (ОАО Автодизель-ЯМЗ);001955     ;Склад магазин Мергунов;1;44.64
Стартер ВАЗ-2110-12 (редукторный) Чебоксары;001994     ;Склад магазин Мергунов;1;6084.18
Каталог двигателя ЯМЗ-7511;002013     ;Склад магазин Мергунов;1;1281.61
Кронштейн крепления стартера СТ-25 (ОАО Автодизель-ЯМЗ) ;002014     ;Склад магазин Мергунов;1;1310.71
Кронштейн крепления стартера СТ-25 (ОАО Автодизель-ЯМЗ) ;002015     ;Склад магазин Мергунов;1;1144.25
Трубка щупа уровня масла ЯМЗ-240 (ОАО Автодизель-ЯМЗ);002018     ;Склад магазин Мергунов;1;198.92
Лемех КПШ левый (Новосибирск);002031     ;Склад магазин Мергунов;1;846.65
Штуцер соединительный (тройник) кл.32 (AGROIMPULS);002050     ;Склад магазин Мергунов;2;392.34
