Номенклатура;КодНоменклатуры;Склад;Количество;Сумма
Сегмент ножа зубч. (Шумахер) /Симферополь/ 270 шт./кор.;010533     ;Склад бр Оберемко В.;5;579.82
Кляммер трубки смазки корректора ТНВД ЯМЗ-238НД5/238Д (ОАО Автодизель-ЯМЗ);013083     ;Склад бр Оберемко В.;1;40.59
Скоба крепления трубки ЯМЗ (ОАО Автодизель-ЯМЗ) ;013087     ;Склад бр Оберемко В.;4;121.77
Полумуфта системы привода мотовила жатки РСМ-081.27 М18х1,5 внутренняя (Ростсельмаш);014556     ;Склад бр Оберемко В.;1;2527.61
Указатель температуры воды МАЗ/К-702СХТ 24В н/о (Витебск);014727     ;Склад бр Оберемко В.;1;6232.32
Фонарь задний КаМАЗ, ГАЗ, К-701МТ левый 24В;015195     ;Склад бр Оберемко В.;1;1165.37
Фонарь задний КаМАЗ, ГАЗ, К-701МТ правый 24В;015196     ;Склад бр Оберемко В.;1;1165.37
Насос водяной Д442 3-х руч. с выходом на ЖМТ (общ. ГБЦ) (К);010716     ;Склад бр Оберемко В.;1;12946.43
Гидроцил-ра ГА-76010А, 76020В Енисей/Нива (РЕМ. К-Т.) (РУСЬ);006432     ;Склад бр Оберемко В.;1;98.8
Амортизатор газомаслянный (перед+зад)  ГАЗЕЛЬ-2705;014968     ;Склад бр Оберемко В.;4;17100
Прокладка ГБЦ МТЗ /ЯЗТО/  ;011595     ;Склад бр Оберемко В.;1;771.74
Хомут 30*45/9 Torro Norma;012435     ;Склад бр Оберемко В.;2;161.36
Бензонасос Ваз-2110, Газель (Bosch);009179     ;Склад бр Оберемко В.;1;6383.93
Прокладок двигателя ЯМЗ-236 нов. обр. (РЕМ. К-Т.) (ОАО Автодизель-ЯМЗ);012453     ;Склад бр Оберемко В.;1;10205.6
Антифриз Дзержинский ГОСТ G11 зеленый 10 кг.;015177     ;Склад бр Оберемко В.;1;2946.43
Фильтр масляный ЯМЗ (металл. корпус с резьбой) М5103 (ОАО Автодизель-ЯМЗ);011020     ;Склад бр Оберемко В.;1;3557.4
Втулка шлицевая вала ТНВД МТЗ;008945     ;Склад бр Оберемко В.;1;1499.2
Насос топливоподкач-ий в сборе МТЗ (К);009503     ;Склад бр Оберемко В.;1;1785.71
Шпилька М10;00000070039;Склад бр Оберемко В.;25;3000
Прокладка поддона двигателя ЯМЗ-238 (ОАО Автодизель-ЯМЗ);008050     ;Склад бр Оберемко В.;2;1979.16
Механизм привода ножа Шумахер с горизонт. шкивом (Симферополь);009238     ;Склад бр Оберемко В.;2;254541.08
Генератор МАЗ, КРАЗ 24в 60А. (БАТЭ);003277     ;Склад бр Оберемко В.;1;19313.4
Траверса стартера СТ25 ЯМЗ нов. обр. (ООО ПРАМО);003370     ;Склад бр Оберемко В.;1;3230.63
Фильтр тонкой оч. топлива в сб. ЯМЗ-236/238/7511 (с закручив. сменн. фильтром) (ОАО Автодизель-ЯМЗ);003384     ;Склад бр Оберемко В.;1;7292.63
Насос водяной ЯМЗ-7511 (Россия);003468     ;Склад бр Оберемко В.;1;17797.5
Насос водяной СМД-18/22 (Украина) ;003484     ;Склад бр Оберемко В.;3;30190.35
Редуктора привода насосов К-701 (РЕМ. К-Т.);003633     ;Склад бр Оберемко В.;1;128.02
"Распылитель Д-245/260 МТЗ-Евро2 (АЗПИ) ""172-12.01""";003678     ;Склад бр Оберемко В.;2;5800.42
Распылитель Д-240 МТЗ (ОАО ЯЗДА);003902     ;Склад бр Оберемко В.;26;21866.05
Распылитель ЯМЗ-240БМ2 /для форс.262-04/ (ОАО ЯЗДА);003905     ;Склад бр Оберемко В.;1;761.09
Поршнекомплект МТЗ (Г+П+ПК+УК+СК+ПП) Эксперт (Кострома) ;009634     ;Склад бр Оберемко В.;4;47385.39
Насос масляный ЯМЗ-238НД3/5 (Россия);009373     ;Склад бр Оберемко В.;1;20794
РВД  ключ 32  L=1,6 м. (г.Курск);008082     ;Склад бр Оберемко В.;1;1183.31
"Радиатор водяной МТЗ-80/82 4-х рядн. латунный ""Композит""";007360     ;Склад бр Оберемко В.;1;62564.1
Ремень генератора поликлиновый ЯМЗ-236/238/7511 /RUBENA/ (ОАО Автодизель-ЯМЗ);010783     ;Склад бр Оберемко В.;1;1116.35
Блок диодный выпрям-й генератора 5152 (ПРАМО);011786     ;Склад бр Оберемко В.;1;3087.18
Полумуфта системы привода мотовила жатки РСМ-081.27 М18х1,5 (142.09.67.150) (Ростсельмаш);011125     ;Склад бр Оберемко В.;1;3099.24
РВД  ключ 24  L=1,0 м. (г.Курск);008069     ;Склад бр Оберемко В.;6;4350.07
Фара рабочая круглая с сеткой, лампа Н3, 12В (Руслан);007799     ;Склад бр Оберемко В.;1;1039.21
Механизм переключения передач КПП К-700/701 (Украина);007640     ;Склад бр Оберемко В.;2;72341.53
Поршнекомплект Д-260 (ф пальца 38мм) ЕВРО-2 (Г+П+ПК+УК+СК) Кострома;008340     ;Склад бр Оберемко В.;1;11253.68
ТНВД 806.1111005-50 ЯМЗ-238ДЕ 330л.с. (ОАО ЯЗДА);011250     ;Склад бр Оберемко В.;1;204938.84
Датчик давления масла МТЗ нов. обр.(2 тонких шт.) (К);009990     ;Склад бр Оберемко В.;1;727.39
Распылитель КАМАЗ-ЕВРО-2 (ЯЗДА)  ;006659     ;Склад бр Оберемко В.;1;1739.64
РВД  ключ 24  L=1,8 м. (г.Курск);008072     ;Склад бр Оберемко В.;2;2098.28
Болт М10*25мм;012754     ;Склад бр Оберемко В.;2.2;1252.47
"Радиатор водяной К-700 с ЯМЗ-238НБ латунный ""Композит""";007371     ;Склад бр Оберемко В.;2;257848.52
Хомут S 80*100/12 Torro Norma;011403     ;Склад бр Оберемко В.;6;1339.28
РВД  ключ 24  L=2,0 м. (г.Курск);008073     ;Склад бр Оберемко В.;1;1099.41
Фара противотум. перед. квадратная белая лампа Н3, 12В (корпус пластм.) (Руслан);008768     ;Склад бр Оберемко В.;4;4031.48
Форсунка ЯМЗ нов./обр.(ОАО ЯЗДА) ;00000007408;Склад бр Оберемко В.;4;11379.92
Уплотнителя поддона Д-240 МТЗ (РЕМ. К-Т.)(РУСЬ);00000007539;Склад бр Оберемко В.;1;79.9
Кран тормозной без датчика К-700/701 700.35.00.090-2;00000007588;Склад бр Оберемко В.;4;85084.91
Цилиндр компрессора МТЗ (Борисов);000711     ;Склад бр Оберемко В.;5;28441.01
Полукольцо упорное коленвала Р1 ЯМЗ-236/238 ;000822     ;Склад бр Оберемко В.;1;603.29
Поршнекомплект Т-40,Т-25 (1-но масл.) (Украина) (Г+П);000847     ;Склад бр Оберемко В.;1;6959.09
Щетки стартера Камаз СТ-142 (компл 8 шт.) ;000889     ;Склад бр Оберемко В.;1;3380.58
Сальников клапанов ЯМЗ-238 (8шт.) (РЕМ. К-Т.)(РУСЬ);000899     ;Склад бр Оберемко В.;1;281.87
Головка ножа сенокосилки (литая, стальная) /Россия/;000934     ;Склад бр Оберемко В.;24;10635.76
Направляющая ножевой головки сенокосилки /Россия/;000938     ;Склад бр Оберемко В.;1;198.12
Шарнир внутреннего башмака сенокосилки /Россия/ ;000945     ;Склад бр Оберемко В.;7;33002.6
Вал сенокосилки /Россия/;000952     ;Склад бр Оберемко В.;1;1610.15
Шкив ведущий сенокосилки (большой) 3-х руч. левая резьба /Россия/;000956     ;Склад бр Оберемко В.;1;3680.42
Шкив ведомый сенокосилки (малый)  2-х руч. правая резьба /Россия/;000957     ;Склад бр Оберемко В.;3;5420.54
